wri_tot_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_h,casualties_x1k,m_employment_h,f_employment_h,m_casualties,f_casualties,m_casualties_x1km,f_casualties_x1kf
200,dataflow,D_GE4,Annual,Number,H,M,BE,2014,6272,break in time series,246.5,25.44,246.5,0,6272,0,25.44,0
201,dataflow,D_GE4,Annual,Number,H,M,BE,2015,6482,,248.9,26.04,248.9,0,6482,0,26.04,0
202,dataflow,D_GE4,Annual,Number,H,M,BE,2016,6868,,252.4,27.21,252.4,0,6868,0,27.21,0
203,dataflow,D_GE4,Annual,Number,H,M,BE,2017,7072,,259.5,27.25,259.5,0,7072,0,27.25,0
204,dataflow,D_GE4,Annual,Number,H,M,BE,2018,7193,,257.4,27.94,257.4,0,7193,0,27.94,0
205,dataflow,D_GE4,Annual,Number,H,M,BE,2019,6778,,276.2,24.54,276.2,0,6778,0,24.54,0
206,dataflow,D_GE4,Annual,Number,H,M,BE,2020,5588,break in time series,257.4,21.71,257.4,0,5588,0,21.71,0
207,dataflow,D_GE4,Annual,Number,H,M,BE,2021,6342,,273,23.23,273,0,6342,0,23.23,0
208,dataflow,D_GE4,Annual,Number,H,M,BE,2022,6335,,277.4,22.84,277.4,0,6335,0,22.84,0
209,dataflow,D_GE4,Annual,Number,H,M,BE,2023,6093,,272.3,22.38,272.3,0,6093,0,22.38,0
210,dataflow,D_GE4,Annual,Number,H,M,CZ,2014,2982,,295.9,10.08,295.9,0,2982,0,10.08,0
